epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6156,2.50927,4.52771,1.90216,0,0,0,0,1.57013,4.36953,1.52642,0,0,0
2,3.28709,2.66861,4.18527,1.98963,0,0,0,0,1.57106,4.35213,1.53199,9.901e-06,9.901e-06,9.901e-06
3,4.75473,2.62711,4.05836,1.99477,0,0,0,0,1.57014,4.31875,1.54091,1.9604e-05,1.9604e-05,1.9604e-05
4,6.33546,1.95201,4.60428,1.62176,0,0,0,0,1.52624,4.24624,1.53792,2.9109e-05,2.9109e-05,2.9109e-05
5,7.90089,2.57728,4.53424,2.01371,0,0,0,0,1.48763,4.15237,1.50847,3.8416e-05,3.8416e-05,3.8416e-05
6,9.63873,2.70955,3.98278,1.98235,0,0,0,0,1.44657,4.05592,1.4873,4.7525e-05,4.7525e-05,4.7525e-05
7,11.1727,1.41528,3.71312,1.28565,0,0,0,0,1.39144,3.92351,1.42964,5.6436e-05,5.6436e-05,5.6436e-05
8,12.9465,2.00197,3.1673,1.53276,0.00156,0.08333,0.00127,0.00018,1.30353,3.7824,1.38943,6.5149e-05,6.5149e-05,6.5149e-05
9,14.8023,2.44474,3.74367,1.92434,0.00156,0.08333,0.00127,0.00018,1.30353,3.7824,1.38943,7.3664e-05,7.3664e-05,7.3664e-05
10,16.6321,1.3902,2.55825,1.21081,0.01899,0.10714,0.01271,0.00889,1.21225,3.56645,1.29862,8.1981e-05,8.1981e-05,8.1981e-05
11,18.1726,1.42207,2.78694,1.23846,0.01899,0.10714,0.01271,0.00889,1.21225,3.56645,1.29862,9.01e-05,9.01e-05,9.01e-05
12,19.7809,1.48653,2.43836,1.2799,0.2827,0.11905,0.09027,0.07199,1.04232,3.29169,1.15601,9.8021e-05,9.8021e-05,9.8021e-05
13,21.1454,1.35953,2.56269,1.25121,0.2827,0.11905,0.09027,0.07199,1.04232,3.29169,1.15601,0.000105744,0.000105744,0.000105744
14,22.7714,1.26647,2.13577,1.20828,0.32047,0.2381,0.17125,0.13665,0.95033,3.04601,1.01398,0.000113269,0.000113269,0.000113269
15,24.4795,1.53424,1.82688,1.23675,0.32047,0.2381,0.17125,0.13665,0.95033,3.04601,1.01398,0.000120596,0.000120596,0.000120596
16,26.3389,2.62943,3.26246,1.9135,0.70379,0.25479,0.23969,0.19419,0.93088,2.80303,0.97068,0.000127725,0.000127725,0.000127725
17,27.9258,1.1474,1.68191,1.09868,0.70379,0.25479,0.23969,0.19419,0.93088,2.80303,0.97068,0.000134656,0.000134656,0.000134656
18,29.5123,1.17441,1.37324,1.08064,0.45505,0.34808,0.35555,0.29844,0.91896,2.60225,0.93691,0.000141389,0.000141389,0.000141389
19,31.0483,0.91852,1.87674,1.0045,0.45505,0.34808,0.35555,0.29844,0.91896,2.60225,0.93691,0.000147924,0.000147924,0.000147924
20,32.7413,1.15064,2.62882,1.11373,0.40129,0.34963,0.36366,0.3024,0.88252,2.52966,0.90657,0.000154261,0.000154261,0.000154261
21,34.3402,0.86997,1.29298,0.98601,0.40129,0.34963,0.36366,0.3024,0.88252,2.52966,0.90657,0.0001604,0.0001604,0.0001604
22,35.9912,0.94381,1.73015,1.03284,0.37656,0.3631,0.38894,0.32641,0.81805,2.40505,0.88251,0.000166341,0.000166341,0.000166341
23,37.5135,1.07013,1.59277,1.13694,0.37656,0.3631,0.38894,0.32641,0.81805,2.40505,0.88251,0.000172084,0.000172084,0.000172084
24,39.1247,2.49035,2.6487,1.76743,0.37656,0.3631,0.38894,0.32641,0.81805,2.40505,0.88251,0.000177629,0.000177629,0.000177629
25,40.5761,0.96413,1.78771,1.1087,0.41888,0.40476,0.43153,0.36991,0.8118,2.10543,0.86979,0.000182976,0.000182976,0.000182976
26,42.0665,0.88135,1.11824,1.0087,0.41888,0.40476,0.43153,0.36991,0.8118,2.10543,0.86979,0.000188125,0.000188125,0.000188125
27,43.6613,0.91351,1.13521,1.00402,0.41888,0.40476,0.43153,0.36991,0.8118,2.10543,0.86979,0.000193076,0.000193076,0.000193076
28,45.1607,0.8417,1.10819,0.99746,0.6323,0.4928,0.5625,0.47542,0.76789,1.65775,0.84849,0.000197829,0.000197829,0.000197829
29,46.6963,0.74219,0.96218,0.96047,0.6323,0.4928,0.5625,0.47542,0.76789,1.65775,0.84849,0.000202384,0.000202384,0.000202384
30,48.3996,0.79009,0.91274,0.94741,0.6323,0.4928,0.5625,0.47542,0.76789,1.65775,0.84849,0.000206741,0.000206741,0.000206741
31,50.2207,0.8602,0.95972,0.94885,0.56529,0.64223,0.6826,0.57171,0.7087,1.34701,0.83433,0.0002109,0.0002109,0.0002109
32,51.8671,0.80701,0.82026,0.98504,0.56529,0.64223,0.6826,0.57171,0.7087,1.34701,0.83433,0.000214861,0.000214861,0.000214861
33,53.3691,1.0694,1.16265,1.01698,0.56529,0.64223,0.6826,0.57171,0.7087,1.34701,0.83433,0.000218624,0.000218624,0.000218624
34,54.8763,1.22421,1.08396,1.02943,0.70793,0.6286,0.73039,0.62,0.68236,1.30446,0.82277,0.000222189,0.000222189,0.000222189
