epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23338,1.82633,4.46897,1.68029,0.00104,0.04167,0.00105,0.00084,1.59595,4.56427,1.49921,0,0,0
2,4.32677,1.87309,4.65812,1.56924,0.00103,0.04167,0.00106,0.00085,1.6007,4.55275,1.50183,5.82179e-06,5.82179e-06,5.82179e-06
3,6.57764,1.95636,4.42428,1.73947,0.00104,0.04167,0.00109,0.00087,1.58349,4.52964,1.49516,1.15272e-05,1.15272e-05,1.15272e-05
4,9.67702,2.09313,4.36027,1.90693,0.00112,0.04167,0.00114,0.00084,1.56885,4.50421,1.47957,1.71161e-05,1.71161e-05,1.71161e-05
5,12.3404,1.83274,4.66471,1.63251,0.00352,0.125,0.00318,0.00212,1.55136,4.45956,1.45846,2.25886e-05,2.25886e-05,2.25886e-05
6,14.5547,1.65272,4.2895,1.52575,0.00394,0.125,0.00401,0.00317,1.54125,4.39339,1.42807,2.79447e-05,2.79447e-05,2.79447e-05
7,16.7292,1.96692,4.50718,1.78411,0.00442,0.125,0.00541,0.00448,1.52035,4.32807,1.40743,3.31844e-05,3.31844e-05,3.31844e-05
8,18.6725,1.37272,4.06943,1.37134,0.00538,0.125,0.0105,0.00858,1.4908,4.24409,1.37461,3.83076e-05,3.83076e-05,3.83076e-05
9,20.5914,1.87639,4.15715,1.61199,0.00538,0.125,0.0105,0.00858,1.4908,4.24409,1.37461,4.33144e-05,4.33144e-05,4.33144e-05
10,22.855,1.45453,3.79987,1.40057,0.00685,0.125,0.01491,0.01133,1.43752,4.11012,1.32618,4.82048e-05,4.82048e-05,4.82048e-05
11,25.4563,1.74428,4.02985,1.50281,0.00685,0.125,0.01491,0.01133,1.43752,4.11012,1.32618,5.29788e-05,5.29788e-05,5.29788e-05
12,27.703,1.41817,3.61745,1.3842,0.18497,0.08333,0.02849,0.02237,1.33037,3.93722,1.22981,5.76363e-05,5.76363e-05,5.76363e-05
13,30.1144,1.38036,3.31424,1.35663,0.18497,0.08333,0.02849,0.02237,1.33037,3.93722,1.22981,6.21775e-05,6.21775e-05,6.21775e-05
14,33.1668,2.12109,4.07108,1.69346,0.14478,0.16667,0.13986,0.10737,1.20284,3.75117,1.1517,6.66022e-05,6.66022e-05,6.66022e-05
